OpenJDK 64-Bit Server VM (25.252-b09) for linux-amd64 JRE (1.8.0_252-8u252-b09-1ubuntu1-b09), built on Apr 16 2020 08:47:49 by "buildd" with gcc 9.3.0
2021-01-22T01:08:04.584+0800: 4.275: [Full GC (Ergonomics) [PSYoungGen: 122013K->0K(564224K)] [ParOldGen: 1321815K->356525K(1398272K)] 1443829K->356525K(1962496K), [Metaspace: 2817K->2817K(1056768K)], 0.0412411 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-22T01:08:04.678+0800: 4.369: [GC (Allocation Failure) [PSYoungGen: 430080K->134342K(555008K)] 786605K->492152K(1953280K), 0.0144931 secs] [Times: user=0.11 sys=0.01, real=0.01 secs] 
2021-01-22T01:08:04.741+0800: 4.432: [GC (Allocation Failure) [PSYoungGen: 554694K->112353K(559616K)] 912504K->566346K(1957888K), 0.0206773 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:04.812+0800: 4.503: [GC (Allocation Failure) [PSYoungGen: 532705K->124559K(559616K)] 986698K->652633K(1957888K), 0.0263797 secs] [Times: user=0.17 sys=0.01, real=0.03 secs] 
2021-01-22T01:08:04.884+0800: 4.575: [GC (Allocation Failure) [PSYoungGen: 545935K->126805K(548352K)] 1074009K->739365K(1946624K), 0.0212824 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:04.954+0800: 4.645: [GC (Allocation Failure) [PSYoungGen: 548181K->122995K(560128K)] 1160741K->817717K(1958400K), 0.0219958 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:05.027+0800: 4.718: [GC (Allocation Failure) [PSYoungGen: 543347K->126871K(559104K)] 1238069K->903763K(1957376K), 0.0221146 secs] [Times: user=0.17 sys=0.00, real=0.03 secs] 
2021-01-22T01:08:05.104+0800: 4.795: [GC (Allocation Failure) [PSYoungGen: 547223K->127704K(557568K)] 1324115K->987987K(1955840K), 0.0301402 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2021-01-22T01:08:05.182+0800: 4.873: [GC (Allocation Failure) [PSYoungGen: 546008K->124255K(558592K)] 1406291K->1073480K(1956864K), 0.0222220 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2021-01-22T01:08:05.250+0800: 4.941: [GC (Allocation Failure) [PSYoungGen: 542559K->118293K(560640K)] 1491784K->1157613K(1958912K), 0.0213813 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
