OpenJDK 64-Bit Server VM (25.252-b09) for linux-amd64 JRE (1.8.0_252-8u252-b09-1ubuntu1-b09), built on Apr 16 2020 08:47:49 by "buildd" with gcc 9.3.0
Memory: 4k page, physical 39286120k(39105040k free), swap 10485760k(10485760k free)
CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2021-01-22T00:43:23.657+0800: 8.995: [GC (Allocation Failure) 2021-01-22T00:43:23.657+0800: 8.995: [DefNew: 1258303K->139775K(1258304K), 0.0386588 secs] 3220195K->2250377K(4054528K), 0.0395830 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:23.830+0800: 9.168: [GC (Allocation Failure) 2021-01-22T00:43:23.830+0800: 9.168: [DefNew: 1258303K->139776K(1258304K), 0.0449388 secs] 3368905K->2412007K(4054528K), 0.0459201 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:24.022+0800: 9.360: [GC (Allocation Failure) 2021-01-22T00:43:24.022+0800: 9.360: [DefNew: 1258304K->139775K(1258304K), 0.0398053 secs] 3530535K->2561137K(4054528K), 0.0406993 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:24.195+0800: 9.533: [GC (Allocation Failure) 2021-01-22T00:43:24.196+0800: 9.534: [DefNew: 1258303K->139776K(1258304K), 0.0390282 secs] 3679665K->2699725K(4054528K), 0.0403424 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:24.376+0800: 9.714: [GC (Allocation Failure) 2021-01-22T00:43:24.377+0800: 9.715: [DefNew: 1258304K->139776K(1258304K), 0.0442359 secs] 3818253K->2850885K(4054528K), 0.0451476 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-22T00:43:24.560+0800: 9.898: [GC (Allocation Failure) 2021-01-22T00:43:24.560+0800: 9.898: [DefNew: 1258304K->1258304K(1258304K), 0.0002949 secs]2021-01-22T00:43:24.561+0800: 9.899: [Tenured: 2711109K->462307K(2796224K), 0.0594169 secs] 3969413K->462307K(4054528K), [Metaspace: 2817K->2817K(1056768K)], 0.0611159 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
2021-01-22T00:43:24.753+0800: 10.091: [GC (Allocation Failure) 2021-01-22T00:43:24.754+0800: 10.092: [DefNew: 1118528K->139776K(1258304K), 0.0336188 secs] 1580835K->714597K(4054528K), 0.0347359 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2021-01-22T00:43:24.913+0800: 10.251: [GC (Allocation Failure) 2021-01-22T00:43:24.914+0800: 10.252: [DefNew: 1258304K->139775K(1258304K), 0.0418471 secs] 1833125K->870943K(4054528K), 0.0429209 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:25.099+0800: 10.437: [GC (Allocation Failure) 2021-01-22T00:43:25.099+0800: 10.437: [DefNew: 1258303K->139776K(1258304K), 0.0414582 secs] 1989471K->1025417K(4054528K), 0.0422015 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:25.281+0800: 10.619: [GC (Allocation Failure) 2021-01-22T00:43:25.282+0800: 10.620: [DefNew: 1258304K->139775K(1258304K), 0.0411978 secs] 2143945K->1192249K(4054528K), 0.0421526 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:25.460+0800: 10.798: [GC (Allocation Failure) 2021-01-22T00:43:25.460+0800: 10.798: [DefNew: 1258303K->139776K(1258304K), 0.0400461 secs] 2310777K->1347856K(4054528K), 0.0407984 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:25.628+0800: 10.966: [GC (Allocation Failure) 2021-01-22T00:43:25.629+0800: 10.967: [DefNew: 1258304K->139775K(1258304K), 0.0405344 secs] 2466384K->1512132K(4054528K), 0.0413745 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:25.800+0800: 11.138: [GC (Allocation Failure) 2021-01-22T00:43:25.801+0800: 11.139: [DefNew: 1258303K->139775K(1258304K), 0.0393752 secs] 2630660K->1672453K(4054528K), 0.0402299 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:25.984+0800: 11.321: [GC (Allocation Failure) 2021-01-22T00:43:25.984+0800: 11.322: [DefNew: 1258303K->139775K(1258304K), 0.0401152 secs] 2790981K->1817095K(4054528K), 0.0411580 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:26.159+0800: 11.497: [GC (Allocation Failure) 2021-01-22T00:43:26.160+0800: 11.498: [DefNew: 1258303K->139775K(1258304K), 0.0406940 secs] 2935623K->1967929K(4054528K), 0.0417183 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:26.331+0800: 11.669: [GC (Allocation Failure) 2021-01-22T00:43:26.331+0800: 11.669: [DefNew: 1258303K->139775K(1258304K), 0.0399755 secs] 3086457K->2121032K(4054528K), 0.0409454 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:26.505+0800: 11.843: [GC (Allocation Failure) 2021-01-22T00:43:26.506+0800: 11.844: [DefNew: 1258303K->139775K(1258304K), 0.0433978 secs] 3239560K->2273048K(4054528K), 0.0443165 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-22T00:43:26.684+0800: 12.022: [GC (Allocation Failure) 2021-01-22T00:43:26.684+0800: 12.022: [DefNew: 1258303K->139775K(1258304K), 0.0368883 secs] 3391576K->2422859K(4054528K), 0.0378459 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:26.854+0800: 12.192: [GC (Allocation Failure) 2021-01-22T00:43:26.855+0800: 12.192: [DefNew: 1258303K->139775K(1258304K), 0.0408333 secs] 3541387K->2581049K(4054528K), 0.0416783 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:27.029+0800: 12.367: [GC (Allocation Failure) 2021-01-22T00:43:27.029+0800: 12.367: [DefNew: 1258303K->139775K(1258304K), 0.0420297 secs] 3699577K->2744788K(4054528K), 0.0429894 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:27.206+0800: 12.544: [GC (Allocation Failure) 2021-01-22T00:43:27.206+0800: 12.544: [DefNew: 1258303K->139776K(1258304K), 0.0434290 secs] 3863316K->2892056K(4054528K), 0.0443098 secs] [Times: user=0.04 sys=0.01, real=0.05 secs] 
2021-01-22T00:43:27.383+0800: 12.721: [GC (Allocation Failure) 2021-01-22T00:43:27.384+0800: 12.722: [DefNew: 1258304K->1258304K(1258304K), 0.0004116 secs]2021-01-22T00:43:27.384+0800: 12.722: [Tenured: 2752280K->374385K(2796224K), 0.0543458 secs] 4010584K->374385K(4054528K), [Metaspace: 2817K->2817K(1056768K)], 0.0560093 secs] [Times: user=0.05 sys=0.01, real=0.06 secs] 
2021-01-22T00:43:27.572+0800: 12.909: [GC (Allocation Failure) 2021-01-22T00:43:27.572+0800: 12.910: [DefNew: 1118528K->139775K(1258304K), 0.0366656 secs] 1492913K->628129K(4054528K), 0.0376211 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:27.748+0800: 13.086: [GC (Allocation Failure) 2021-01-22T00:43:27.748+0800: 13.086: [DefNew: 1258303K->139775K(1258304K), 0.0380519 secs] 1746657K->784054K(4054528K), 0.0390233 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:27.920+0800: 13.258: [GC (Allocation Failure) 2021-01-22T00:43:27.920+0800: 13.258: [DefNew: 1258303K->139776K(1258304K), 0.0390367 secs] 1902582K->931821K(4054528K), 0.0399357 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:28.090+0800: 13.428: [GC (Allocation Failure) 2021-01-22T00:43:28.091+0800: 13.429: [DefNew: 1258304K->139775K(1258304K), 0.0406607 secs] 2050349K->1099622K(4054528K), 0.0415153 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:28.273+0800: 13.610: [GC (Allocation Failure) 2021-01-22T00:43:28.273+0800: 13.611: [DefNew: 1258303K->139775K(1258304K), 0.0459673 secs] 2218150K->1254486K(4054528K), 0.0468082 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-22T00:43:28.469+0800: 13.807: [GC (Allocation Failure) 2021-01-22T00:43:28.470+0800: 13.808: [DefNew: 1258303K->139776K(1258304K), 0.0388237 secs] 2373014K->1395953K(4054528K), 0.0396933 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
